instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,Clear,0.24,0.2879,81.0,0.0,3,13,16,weekend,Lembab
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,Clear,0.22,0.2727,80.0,0.0,8,32,40,weekend,Lembab
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,Clear,0.22,0.2727,80.0,0.0,5,27,32,weekend,Lembab
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,Clear,0.24,0.2879,75.0,0.0,3,10,13,weekend,Lembab
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,Clear,0.24,0.2879,75.0,0.0,0,1,1,weekend,Lembab
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,Misty,0.24,0.2576,75.0,0.0896,0,1,1,weekend,Lembab
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,Clear,0.22,0.2727,80.0,0.0,2,0,2,weekend,Lembab
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,Clear,0.2,0.2576,86.0,0.0,1,2,3,weekend,Lembab
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,Clear,0.24,0.2879,75.0,0.0,1,7,8,weekend,Lembab
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,Clear,0.32,0.3485,76.0,0.0,8,6,14,weekend,Lembab
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,Clear,0.38,0.3939,76.0,0.2537,12,24,36,weekend,Lembab
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,Clear,0.36,0.3333,81.0,0.2836,26,30,56,weekend,Lembab
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,Clear,0.42,0.4242,77.0,0.2836,29,55,84,weekend,Lembab
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,Misty,0.46,0.4545,72.0,0.2985,47,47,94,weekend,Lembab
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,Misty,0.46,0.4545,72.0,0.2836,35,71,106,weekend,Lembab
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,Misty,0.44,0.4394,77.0,0.2985,40,70,110,weekend,Lembab
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,Misty,0.42,0.4242,82.0,0.2985,41,52,93,weekend,Lembab
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,Misty,0.44,0.4394,82.0,0.2836,15,52,67,weekend,Lembab
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,9,26,35,weekend,Lembab
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,Light_rainsnow,0.42,0.4242,88.0,0.2537,6,31,37,weekend,Lembab
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,Misty,0.4,0.4091,87.0,0.2537,11,25,36,weekend,Lembab
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,Misty,0.4,0.4091,87.0,0.194,3,31,34,weekend,Lembab
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,Misty,0.4,0.4091,94.0,0.2239,11,17,28,weekend,Lembab
24,2011-01-01,Spring,2011,Jan,23,0,Saturday,Misty,0.46,0.4545,88.0,0.2985,15,24,39,weekend,Lembab
25,2011-01-02,Spring,2011,Jan,0,0,Sunday,Misty,0.46,0.4545,88.0,0.2985,4,13,17,weekend,Lembab
26,2011-01-02,Spring,2011,Jan,1,0,Sunday,Misty,0.44,0.4394,94.0,0.2537,1,16,17,weekend,Lembab
27,2011-01-02,Spring,2011,Jan,2,0,Sunday,Misty,0.42,0.4242,100.0,0.2836,1,8,9,weekend,Lembab
28,2011-01-02,Spring,2011,Jan,3,0,Sunday,Misty,0.46,0.4545,94.0,0.194,2,4,6,weekend,Lembab
29,2011-01-02,Spring,2011,Jan,4,0,Sunday,Misty,0.46,0.4545,94.0,0.194,2,1,3,weekend,Lembab
30,2011-01-02,Spring,2011,Jan,6,0,Sunday,Light_rainsnow,0.42,0.4242,77.0,0.2985,0,2,2,weekend,Lembab
31,2011-01-02,Spring,2011,Jan,7,0,Sunday,Misty,0.4,0.4091,76.0,0.194,0,1,1,weekend,Lembab
32,2011-01-02,Spring,2011,Jan,8,0,Sunday,Light_rainsnow,0.4,0.4091,71.0,0.2239,0,8,8,weekend,Lembab
33,2011-01-02,Spring,2011,Jan,9,0,Sunday,Misty,0.38,0.3939,76.0,0.2239,1,19,20,weekend,Lembab
34,2011-01-02,Spring,2011,Jan,10,0,Sunday,Misty,0.36,0.3485,81.0,0.2239,7,46,53,weekend,Lembab
35,2011-01-02,Spring,2011,Jan,11,0,Sunday,Misty,0.36,0.3333,71.0,0.2537,16,54,70,weekend,Lembab
36,2011-01-02,Spring,2011,Jan,12,0,Sunday,Misty,0.36,0.3333,66.0,0.2985,20,73,93,weekend,Lembab
37,2011-01-02,Spring,2011,Jan,13,0,Sunday,Misty,0.36,0.3485,66.0,0.1343,11,64,75,weekend,Lembab
38,2011-01-02,Spring,2011,Jan,14,0,Sunday,Light_rainsnow,0.36,0.3485,76.0,0.194,4,55,59,weekend,Lembab
39,2011-01-02,Spring,2011,Jan,15,0,Sunday,Light_rainsnow,0.34,0.3333,81.0,0.1642,19,55,74,weekend,Lembab
40,2011-01-02,Spring,2011,Jan,16,0,Sunday,Light_rainsnow,0.34,0.3333,71.0,0.1642,9,67,76,weekend,Lembab
41,2011-01-02,Spring,2011,Jan,17,0,Sunday,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,weekend,Normal
42,2011-01-02,Spring,2011,Jan,18,0,Sunday,Misty,0.36,0.3333,46.0,0.3284,10,43,53,weekend,Normal
43,2011-01-02,Spring,2011,Jan,19,0,Sunday,Clear,0.32,0.2879,42.0,0.4478,1,29,30,weekend,Kering
44,2011-01-02,Spring,2011,Jan,20,0,Sunday,Clear,0.3,0.2727,39.0,0.3582,5,17,22,weekend,Kering
45,2011-01-02,Spring,2011,Jan,21,0,Sunday,Clear,0.26,0.2273,44.0,0.3284,11,20,31,weekend,Kering
46,2011-01-02,Spring,2011,Jan,22,0,Sunday,Clear,0.24,0.2121,44.0,0.2985,0,9,9,weekend,Kering
47,2011-01-02,Spring,2011,Jan,23,0,Sunday,Clear,0.22,0.2273,47.0,0.1642,0,8,8,weekend,Normal
48,2011-01-03,Spring,2011,Jan,0,0,Monday,Clear,0.22,0.197,44.0,0.3582,0,5,5,weekdays,Kering
49,2011-01-03,Spring,2011,Jan,1,0,Monday,Clear,0.2,0.1667,44.0,0.4179,0,2,2,weekdays,Kering
50,2011-01-03,Spring,2011,Jan,4,0,Monday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,weekdays,Normal
51,2011-01-03,Spring,2011,Jan,5,0,Monday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,weekdays,Normal
52,2011-01-03,Spring,2011,Jan,6,0,Monday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,weekdays,Normal
53,2011-01-03,Spring,2011,Jan,7,0,Monday,Clear,0.14,0.1364,50.0,0.194,1,63,64,weekdays,Normal
54,2011-01-03,Spring,2011,Jan,8,0,Monday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,weekdays,Normal
55,2011-01-03,Spring,2011,Jan,9,0,Monday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,weekdays,Kering
56,2011-01-03,Spring,2011,Jan,10,0,Monday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,weekdays,Kering
57,2011-01-03,Spring,2011,Jan,11,0,Monday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,weekdays,Kering
58,2011-01-03,Spring,2011,Jan,12,0,Monday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,weekdays,Kering
59,2011-01-03,Spring,2011,Jan,13,0,Monday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,weekdays,Kering
60,2011-01-03,Spring,2011,Jan,14,0,Monday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,weekdays,Kering
61,2011-01-03,Spring,2011,Jan,15,0,Monday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,weekdays,Kering
62,2011-01-03,Spring,2011,Jan,16,0,Monday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,weekdays,Kering
63,2011-01-03,Spring,2011,Jan,17,0,Monday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,weekdays,Kering
64,2011-01-03,Spring,2011,Jan,18,0,Monday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,weekdays,Kering
65,2011-01-03,Spring,2011,Jan,19,0,Monday,Clear,0.2,0.2576,47.0,0.0,8,102,110,weekdays,Normal
66,2011-01-03,Spring,2011,Jan,20,0,Monday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,weekdays,Normal
67,2011-01-03,Spring,2011,Jan,21,0,Monday,Clear,0.18,0.197,64.0,0.1343,3,49,52,weekdays,Normal
68,2011-01-03,Spring,2011,Jan,22,0,Monday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,weekdays,Lembab
69,2011-01-03,Spring,2011,Jan,23,0,Monday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,weekdays,Normal
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,weekdays,Normal
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,weekdays,Normal
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,weekdays,Normal
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,weekdays,Normal
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,weekdays,Lembab
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,weekdays,Lembab
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,weekdays,Lembab
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,weekdays,Lembab
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,weekdays,Normal
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,Misty,0.16,0.1364,69.0,0.3284,5,37,42,weekdays,Lembab
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,weekdays,Normal
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,weekdays,Normal
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,weekdays,Normal
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,weekdays,Normal
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,weekdays,Normal
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,weekdays,Normal
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,weekdays,Normal
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,Clear,0.26,0.2576,48.0,0.194,3,179,182,weekdays,Normal
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,weekdays,Normal
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,weekdays,Normal
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,Clear,0.22,0.2727,64.0,0.0,0,48,48,weekdays,Normal
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,weekdays,Normal
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,weekdays,Lembab
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,Clear,0.2,0.2576,64.0,0.0,0,6,6,weekdays,Normal
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,6,6,weekdays,Lembab
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,2,2,weekdays,Lembab
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,weekdays,Normal
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,weekdays,Normal
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,Clear,0.2,0.197,47.0,0.2239,0,33,33,weekdays,Normal
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,Clear,0.18,0.1818,43.0,0.194,1,87,88,weekdays,Kering
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,weekdays,Kering
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,Clear,0.22,0.197,37.0,0.3284,6,109,115,weekdays,Kering
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,Clear,0.22,0.197,37.0,0.3284,4,53,57,weekdays,Kering
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,weekdays,Kering
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,weekdays,Kering
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,weekdays,Kering
